id,source_country,source_latitude,source_longitude,target_country,target_latitude,target_longitude,year,time,amount,note,linestring
27,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1911,1911-01-01,14,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
28,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1911,1911-01-01,10,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
29,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1912,1912-01-01,141,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
30,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1912,1912-01-01,211,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
31,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1912,1912-01-01,112,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
32,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1912,1912-01-01,55,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
33,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1912,1912-01-01,25,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
34,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1912,1912-01-01,17,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
35,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1912,1912-01-01,8,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
36,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1913,1913-01-01,234,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
37,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1913,1913-01-01,275,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
38,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1913,1913-01-01,286,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
39,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1913,1913-01-01,78,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
40,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1913,1913-01-01,201,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
41,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1913,1913-01-01,48,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
42,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1913,1913-01-01,10,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
43,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1914,1914-01-01,210,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
44,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1914,1914-01-01,154,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
45,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1914,1914-01-01,361,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
46,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1914,1914-01-01,69,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
47,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1914,1914-01-01,176,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
48,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1914,1914-01-01,30,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
49,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1914,1914-01-01,4,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
50,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1915,1915-01-01,253,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
51,fushun,41.88049186,123.9563363,south_china,31.22868876,121.4758988,1915,1915-01-01,186,,"linestring(123.95633630052524 41.88049186409673, 121.47589877511972 31.228688763535633)"
52,fushun,41.88049186,123.9563363,japan,35.68701184,139.753325,1915,1915-01-01,122,,"linestring(123.95633630052524 41.88049186409673, 139.75332504722854 35.68701184477276)"
53,fushun,41.88049186,123.9563363,north_china,39.91689076,116.3968764,1915,1915-01-01,66,,"linestring(123.95633630052524 41.88049186409673, 116.39687644664122 39.91689076216459)"
54,fushun,41.88049186,123.9563363,southeast-asia,1.297038829,103.848304,1915,1915-01-01,80,,"linestring(123.95633630052524 41.88049186409673, 103.84830401333 1.2970388287948684)"
55,fushun,41.88049186,123.9563363,taiwan,25.03961069,121.5190604,1915,1915-01-01,33,,"linestring(123.95633630052524 41.88049186409673, 121.51906039184372 25.039610686989437)"
56,fushun,41.88049186,123.9563363,vladivostok,43.11481344,131.8855052,1915,1915-01-01,3,,"linestring(123.95633630052524 41.88049186409673, 131.88550523762538 43.11481343550425)"
57,fushun,41.88049186,123.9563363,chosun,37.566935,126.978142,1916,1916-01-01,299,,"linestring(123.95633630052524 41.88049186409673, 126.978142 37.566935)"
